node,year_construction,capacity_existing
SE,2016,0.03482889403997051
SE,2017,0.3376315393897071
SE,2019,0.36199447694684883
SE,2021,0.25727688857758474
SI,1999,0.0009525299405238061
SI,2000,0.008549131422907514
SI,2002,0.0035964140257935782
SI,2004,0.00362903732050935
SI,2006,0.0014149434439734015
SI,2007,0.0013480770334864355
SI,2008,0.0031645892137789136
SI,2009,0.016481734082772648
SI,2010,0.008101889113236421
SI,2011,0.005032696607440518
SI,2012,0.014522316285934915
SI,2013,0.0027542000760795576
SI,2014,0.002903240505600993
SI,2015,0.013442426191640974
SI,2017,0.004817868235862055
SI,2018,0.003399430634227568
SI,2019,0.011468092439392008
SI,2020,0.011013460897765212
SK,2010,0.03970600684113924
SK,2011,0.046276339254995164
SK,2012,0.12685632816112402
SK,2016,0.035337218645402346
SK,2017,0.0033303153709733913
SK,2018,0.03344656833439302
SK,2020,0.017358747627237325
UK,2015,0.11005874046956379
UK,2016,0.0055342629898614965
UK,2018,0.030733038633957585
UK,2019,0.005217057412692294
